#================================================================#
# SMARTS2 -- Algorithms and performance assessment               #
#================================================================#
#
# APPENDIX: Extraterrestrial spectrum and absorption coefficients
#           at their reference temperature
#
# λ      E0nλ       Awλ        Aoλ      Anλ  
403    1.7126   0.00E+00   0.00E+00   15.55
404    1.7622   0.00E+00   0.00E+00   16.20
405    1.6983   0.00E+00   0.00E+00   15.70
406    1.6068   0.00E+00   0.00E+00   14.75
407    1.6164   0.00E+00   5.57E-05   15.50
408    1.6861   0.00E+00   1.30E-04   16.64
409    1.8466   0.00E+00   1.86E-04   16.45
410    1.5299   0.00E+00   2.26E-04   16.22
411    1.7390   0.00E+00   2.46E-04   15.33
412    1.8454   0.00E+00   2.28E-04   16.20
413    1.7370   0.00E+00   2.02E-04   16.50
414    1.8192   0.00E+00   2.12E-04   15.39
415    1.7688   0.00E+00   2.68E-04   14.30
416    1.8414   0.00E+00   3.39E-04   14.30
417    1.8174   0.00E+00   3.96E-04   14.92
418    1.6966   0.00E+00   4.26E-04   15.21
419    1.7613   0.00E+00   4.32E-04   15.70
420    1.6368   0.00E+00   4.32E-04   15.82
421    1.9260   0.00E+00   4.60E-04   15.80
422    1.7856   0.00E+00   5.41E-04   15.72
423    1.6634   0.00E+00   6.79E-04   15.97
424    1.7371   0.00E+00   8.62E-04   15.50
425    1.6739   0.00E+00   1.04E-03   13.90
426    1.7277   0.00E+00   1.15E-03   13.70
427    1.5874   0.00E+00   1.15E-03   14.90
428    1.6876   0.00E+00   1.08E-03   14.15
429    1.5558   0.00E+00   1.02E-03   13.40
430    1.2480   0.00E+00   1.02E-03   14.65
431    1.2880   0.00E+00   1.10E-03   14.10
432    1.8042   0.00E+00   1.28E-03   13.40
433    1.8187   0.00E+00   1.44E-03   14.45
434    1.5185   0.00E+00   1.50E-03   15.46
435    1.7717   0.00E+00   1.50E-03   15.08
436    1.9054   0.00E+00   1.51E-03   13.40
437    1.8774   0.00E+00   1.60E-03   12.16
438    1.6579   0.00E+00   1.81E-03   14.05
439    1.7325   0.00E+00   2.16E-03   14.50
440    1.8014   0.00E+00   2.60E-03   12.30
441    1.8649   3.10E-06   3.01E-03   11.15
442    1.9707   2.48E-05   3.31E-03   11.50
443    1.9266   1.59E-04   3.51E-03   12.40
444    1.9971   4.46E-05   3.52E-03   13.95
445    1.9760   5.90E-05   3.36E-03   13.10
446    1.8228   5.84E-05   3.16E-03   12.30
447    2.0043   1.19E-05   3.06E-03   13.90
448    2.0397   2.79E-06   3.14E-03   13.45
449    2.0130   0.00E+00   3.43E-03   11.79
450    2.0902   0.00E+00   3.77E-03   11.70
451    2.1812   0.00E+00   4.01E-03   11.71
452    2.0721   0.00E+00   4.10E-03   11.90
453    1.8733   0.00E+00   4.08E-03   11.21
454    2.0484   0.00E+00   4.10E-03   11.20
455    1.9586   0.00E+00   4.29E-03   10.91
456    2.1017   0.00E+00   4.73E-03   10.51
457    2.1161   0.00E+00   5.43E-03   11.77
458    2.0026   0.00E+00   6.30E-03   11.49
459    2.0615   0.00E+00   7.20E-03   11.30
460    2.0216   0.00E+00   8.07E-03   11.47
461    2.1087   0.00E+00   8.71E-03   10.72
462    2.0854   0.00E+00   9.00E-03   11.50
463    2.1247   0.00E+00   8.93E-03   11.75
464    2.0229   0.00E+00   8.49E-03   10.30
465    1.9781   0.00E+00   7.96E-03    9.10
466    2.0527   0.00E+00   7.72E-03    9.86
467    1.9384   2.12E-06   7.97E-03   10.15
468    2.0119   2.09E-06   8.46E-03    9.21
469    2.0479   9.03E-06   8.94E-03    8.65
470    1.9206   3.34E-05   9.39E-03    8.62
471    1.9660   1.30E-05   9.63E-03    8.78
472    2.1111   1.28E-05   9.74E-03    9.15
473    1.9776   1.27E-05   9.76E-03   10.60
474    2.0550   1.92E-06   1.01E-02   10.95
475    2.0880   0.00E+00   1.08E-02    9.78
476    1.9900   0.00E+00   1.20E-02    8.82
477    2.0469   0.00E+00   1.35E-02    8.42
478    2.1053   0.00E+00   1.52E-02    8.59
479    2.0673   0.00E+00   1.69E-02    9.21
480    2.1149   0.00E+00   1.86E-02    8.85
481    2.0670   0.00E+00   1.99E-02    8.21
482    2.0998   0.00E+00   2.08E-02    7.11
483    2.0276   0.00E+00   2.09E-02    6.64
484    2.0091   0.00E+00   2.04E-02    6.89
485    1.9786   1.49E-05   1.96E-02    7.04
486    1.5715   1.09E-05   1.90E-02    6.90
487    1.7982   7.25E-06   1.87E-02    7.35
488    1.9913   4.10E-06   1.88E-02    8.92
489    1.8816   7.08E-06   1.95E-02    8.50
490    2.0807   1.54E-06   2.04E-02    7.07
491    2.0092   1.52E-06   2.11E-02    6.45
492    1.8427   0.00E+00   2.14E-02    6.55
493    2.0118   0.00E+00   2.17E-02    7.21
494    1.9566   0.00E+00   2.21E-02    7.69
495    2.0698   0.00E+00   2.26E-02    7.57
496    1.9730   0.00E+00   2.36E-02    7.00
497    2.0205   0.00E+00   2.50E-02    5.80
498    1.9077   0.00E+00   2.68E-02    4.95
499    1.9531   0.00E+00   2.90E-02    4.50
500    1.9189   3.54E-06   3.15E-02    4.62
501    1.8556   9.17E-06   3.42E-02    5.16
502    1.8362   7.39E-05   3.68E-02    5.89
503    1.9477   1.78E-04   3.91E-02    6.00
504    1.8371   1.16E-03   4.08E-02    6.58
505    1.9688   1.75E-04   4.19E-02    6.10
506    2.0302   3.07E-04   4.22E-02    5.50
507    1.9238   3.92E-04   4.19E-02    5.17
